date,campaign_name,adset_name,impressions,clicks,spend,purchases,purchase_conversion_value
2024-07-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,70765,920,704.18,54,3877.58
2024-07-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,46441,604,555.57,49,3500.58
2024-07-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,44835,583,542.88,52,3778.34
2024-07-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,72711,945,767.22,64,4613.49
2024-07-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56159,730,669.4,83,5944.35
2024-07-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,37734,491,558.61,38,2743.71
2024-07-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,96780,1258,1143.57,96,6902.34
2024-07-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64398,837,718.83,58,4166.56
2024-07-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,48501,631,526.98,58,4200.68
2024-07-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,44449,578,567.93,43,3110.23
2024-07-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58433,760,702.36,49,3509.55
2024-07-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,66195,861,702.4,67,4856.31
2024-07-31,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,77889,1013,916.79,73,5249.24
2024-08-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,52466,682,715.24,43,3089.31
2024-08-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,98049,1275,1013.63,105,7554.39
2024-08-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,49718,646,594.28,59,4280.61
2024-08-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,66150,860,693.94,52,3778.85
2024-08-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64942,844,873.61,55,3962.55
2024-08-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,76138,990,901.66,72,5199.11
2024-08-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,82853,1077,921.21,80,5766.86
2024-08-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58716,763,692.99,33,2392.74
2024-08-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,55232,718,727.37,62,4477.63
2024-08-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,27763,361,412.39,43,3118.66
2024-08-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,61939,805,622.29,24,1757.55
2024-08-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,77740,1011,887.27,68,4889.02
2024-08-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,82326,1070,857.13,77,5542.54
2024-08-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,67377,876,718.4,66,4718.76
2024-08-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,89925,1169,991.16,88,6323.34
2024-08-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56409,733,681.54,48,3455.56
2024-08-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,50998,663,568.16,34,2429.13
2024-08-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58623,762,594.35,28,2002.72
2024-08-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,51493,669,597.49,66,4788.17
2024-08-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,84590,1100,818.31,75,5378.01
2024-08-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56715,737,770.91,82,5925.33
2024-08-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,59477,773,817.19,49,3500.43
2024-08-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64145,834,679.89,67,4843.3
2024-08-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,50523,657,641.55,32,2321.04
2024-08-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,45943,597,438.19,29,2076.85
2024-08-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,76683,997,784.88,61,4390.38
2024-08-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,74829,973,746.98,69,4976.82
2024-08-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56229,731,602.2,80,5744.4
2024-08-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56178,730,720.74,51,3697.46
2024-08-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,50785,660,701.44,42,3003.92
2024-08-31,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,88667,1153,893.32,49,3517.3
2024-09-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,40761,530,554.05,37,2647.25
2024-09-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,80629,1048,805.09,116,8382.3
2024-09-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56984,741,623.53,62,4473.76
2024-09-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58238,757,686.6,74,5352.29
2024-09-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,71310,927,798.25,55,3982.97
2024-09-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,65491,851,731.41,56,4014.69
2024-09-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56258,731,671.68,65,4651.29
2024-09-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,70397,915,714.21,47,3391.36
2024-09-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,68375,889,696.07,49,3548.63
2024-09-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,77469,1007,892.38,52,3779.9
2024-09-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58009,754,720.68,48,3474.18
2024-09-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,72898,948,748.48,58,4145.35
2024-09-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56783,738,813.28,47,3388.9
2024-09-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,62773,816,702.56,59,4248.72
2024-09-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,69730,906,757.68,62,4488.59
2024-09-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,63558,826,807.85,57,4089.74
2024-09-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,78255,1017,830.63,48,3434.05
2024-09-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,61399,798,720.26,57,4098.72
2024-09-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,51013,663,630.33,43,3089.32
2024-09-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,55634,723,591.15,48,3470.3
2024-09-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,38397,499,500.77,58,4175.68
2024-09-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,86654,1126,929.45,45,3268.03
2024-09-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,36025,468,513.9,82,5885.75
2024-09-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,83480,1085,949.21,66,4723.87
2024-09-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56725,737,660.78,59,4215.02
2024-09-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,76831,999,948.77,53,3850.69
2024-09-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,45831,596,515.73,60,4331.78
2024-09-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,55147,717,650.37,49,3544.7
2024-09-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,83755,1089,881.84,57,4078.15
2024-09-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,78896,1026,872.79,53,3834.56
2024-10-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64633,840,722.73,51,3673.52
2024-10-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,47657,620,541.55,50,3623.58
2024-10-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,49390,642,605.8,51,3672.78
2024-10-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,81884,1064,987.4,68,4898.88
2024-10-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56003,728,639.17,41,2934.6
2024-10-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56454,734,672.06,42,2995.29
2024-10-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,77393,1006,810.25,52,3766.32
2024-10-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,52561,683,609.24,56,4021.02
2024-10-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,73587,957,829.2,74,5362.57
2024-10-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,53101,690,714.83,70,5016.47
2024-10-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,76371,993,813.11,60,4333.75
2024-10-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,49604,645,615.1,55,3958.4
2024-10-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,39616,515,514.45,41,2917.7
2024-10-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,72051,937,715.05,33,2342.33
2024-10-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,79457,1033,867.0,59,4251.58
2024-10-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,78193,1017,829.69,55,3929.79
2024-10-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,69545,904,777.53,43,3074.49
2024-10-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,76994,1001,909.26,55,3954.34
2024-10-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,54850,713,659.94,54,3875.47
2024-10-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,63922,831,691.83,38,2744.08
2024-10-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,68003,884,710.44,44,3176.67
2024-10-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,78136,1016,920.44,104,7521.66
2024-10-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,85904,1117,816.94,37,2689.61
2024-10-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58788,764,701.53,51,3686.88
2024-10-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,44120,574,593.42,34,2418.94
2024-10-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,60274,784,837.69,49,3534.1
2024-10-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,43375,564,600.79,45,3265.46
2024-10-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64535,839,786.95,44,3149.5
2024-10-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,99117,1289,1186.89,92,6636.06
2024-10-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,82186,1068,898.13,97,6971.9
2024-10-31,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,88590,1152,1039.47,92,6603.4
2024-11-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,65678,854,706.29,74,5323.46
2024-11-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,71692,932,835.04,41,2920.62
2024-11-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,59245,770,692.23,50,3585.6
2024-11-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,67134,873,832.16,70,5070.86
2024-11-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,110497,1436,1121.38,97,6998.49
2024-11-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,54385,707,741.62,95,6866.02
2024-11-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,68952,896,782.8,81,5814.9
2024-11-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,55673,724,663.31,68,4888.66
2024-11-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,74900,974,810.43,132,9531.52
2024-11-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,53276,693,624.62,51,3674.44
2024-11-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,80355,1045,939.34,61,4395.44
2024-11-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,48340,628,580.87,49,3560.49
2024-11-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,84810,1103,863.23,48,3436.69
2024-11-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,59569,774,696.79,55,3955.09
2024-11-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,139365,1812,1339.06,85,6148.86
2024-11-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,91034,1183,1036.5,92,6630.83
2024-11-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,80857,1051,943.98,98,7052.82
2024-11-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,92368,1201,1096.52,168,12119.33
2024-11-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,91256,1186,1009.12,167,12046.83
2024-11-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,110243,1433,1368.02,109,7830.29
2024-11-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,84518,1099,974.55,218,15720.83
2024-11-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,95996,1248,1122.24,134,9672.93
2024-11-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,97910,1273,1108.88,121,8728.1
2024-11-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,123375,1604,1393.83,80,5755.95
2024-11-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,104725,1361,1177.01,110,7917.41
2024-11-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,97424,1267,1129.09,177,12726.21
2024-11-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,123940,1611,1239.53,144,10363.45
2024-11-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,72465,942,812.75,107,7682.16
2024-11-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,133715,1738,1205.56,182,13126.66
2024-11-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,83907,1091,976.83,67,4846.15
2024-12-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,86511,1125,919.62,97,6967.21
2024-12-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,84546,1099,1063.68,227,16362.36
2024-12-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,135724,1764,1380.4,202,14562.36
2024-12-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,98779,1284,1240.05,132,9488.18
2024-12-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,108615,1412,1214.16,216,15543.38
2024-12-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,87010,1131,1045.3,84,6055.83
2024-12-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,95078,1236,1063.24,82,5904.92
2024-12-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,96037,1248,1150.33,202,14542.47
2024-12-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,89302,1161,1130.64,154,11056.13
2024-12-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,106902,1390,1285.19,128,9233.7
2024-12-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,102548,1333,1028.4,119,8597.06
2024-12-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,108218,1407,1208.35,106,7610.71
2024-12-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,109624,1425,1459.03,164,11796.56
2024-12-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,125136,1627,1312.19,133,9571.1
2024-12-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,104410,1357,1335.51,127,9171.46
2024-12-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,115269,1498,1252.03,97,6997.87
2024-12-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,108088,1405,1196.58,145,10431.79
2024-12-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,99804,1297,1097.91,108,7782.46
2024-12-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,88477,1150,860.07,80,5758.42
2024-12-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,73570,956,935.13,167,11992.11
2024-12-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,92928,1208,1022.83,205,14772.11
2024-12-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,100270,1304,1034.32,193,13901.36
2024-12-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,123258,1602,1537.95,189,13598.86
2024-12-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,119931,1559,1511.84,142,10232.38
2024-12-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,87615,1139,1054.96,121,8703.09
2024-12-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,122171,1588,1383.73,165,11888.03
2024-12-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,81381,1058,1096.39,112,8034.62
2024-12-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,107973,1404,1195.52,176,12653.27
2024-12-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,90788,1180,1222.87,65,4691.04
2024-12-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,145504,1892,1495.87,140,10079.0
2024-12-31,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,98535,1281,1095.12,161,11581.46
2025-01-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,89227,1160,862.17,49,3506.51
2025-01-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,46875,609,512.95,40,2849.02
2025-01-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,75261,978,907.8,78,5595.78
2025-01-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,49976,650,633.34,79,5688.97
2025-01-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,55676,724,636.03,34,2454.9
2025-01-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,42503,553,498.79,28,1986.27
2025-01-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64612,840,671.41,39,2838.46
2025-01-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,71614,931,919.41,41,2978.41
2025-01-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,69815,908,667.38,34,2417.27
2025-01-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,79589,1035,819.74,45,3257.12
2025-01-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,53767,699,642.0,73,5277.23
2025-01-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,79064,1028,772.83,53,3807.1
2025-01-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,59049,768,747.15,57,4118.17
2025-01-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,53274,693,610.62,37,2634.11
2025-01-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,54901,714,729.8,67,4849.62
2025-01-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,99118,1289,964.14,119,8564.92
2025-01-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,57322,745,790.77,45,3256.63
2025-01-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,46369,603,626.58,83,6003.31
2025-01-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,77062,1002,960.71,75,5429.61
2025-01-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,87004,1131,891.86,65,4649.52
2025-01-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,78883,1025,838.88,69,4997.77
2025-01-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,66367,863,767.08,65,4675.09
2025-01-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,78228,1017,826.6,106,7657.4
2025-01-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,70277,914,831.78,72,5150.15
2025-01-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,38622,502,433.19,44,3141.18
2025-01-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,69488,903,689.23,47,3387.75
2025-01-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58809,765,705.25,70,5029.78
2025-01-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,52547,683,663.78,39,2805.1
2025-01-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,62839,817,701.44,56,4024.27
2025-01-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,50557,657,549.31,107,7676.16
2025-01-31,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,45411,590,525.47,20,1472.41
2025-02-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,84555,1099,894.85,69,4972.69
2025-02-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,65116,847,777.34,63,4554.73
2025-02-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,45355,590,523.93,40,2907.83
2025-02-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64730,841,729.49,52,3770.38
2025-02-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,83442,1085,948.62,69,4959.91
2025-02-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,77343,1005,770.09,54,3866.39
2025-02-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,89908,1169,1013.75,75,5393.09
2025-02-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,71815,934,866.16,54,3916.15
2025-02-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,50629,658,561.89,84,6035.02
2025-02-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,74741,972,790.55,55,3940.0
