date,campaign_name,campaign_type,impressions,clicks,cost,conversions,conversion_value
2024-07-09,Brand - Search Exact,Search,1904,209,194.6,73.8,7010.55
2024-07-10,Brand - Search Exact,Search,2352,259,253.89,42.59,4045.69
2024-07-11,Brand - Search Exact,Search,2640,290,258.27,61.83,5874.26
2024-07-12,Brand - Search Exact,Search,2378,262,249.25,40.5,3847.59
2024-07-13,Brand - Search Exact,Search,1763,194,177.46,37.94,3604.24
2024-07-14,Brand - Search Exact,Search,2544,280,208.67,34.79,3304.8
2024-07-15,Brand - Search Exact,Search,2295,252,231.13,35.8,3401.17
2024-07-16,Brand - Search Exact,Search,2480,273,235.52,30.16,2865.31
2024-07-17,Brand - Search Exact,Search,2615,288,265.0,46.45,4412.43
2024-07-18,Brand - Search Exact,Search,2401,264,235.94,29.55,2807.0
2024-07-19,Brand - Search Exact,Search,2589,285,256.2,48.89,4644.35
2024-07-20,Brand - Search Exact,Search,2146,236,203.11,48.18,4576.85
2024-07-21,Brand - Search Exact,Search,2400,264,211.47,39.83,3783.71
2024-07-22,Brand - Search Exact,Search,3029,333,254.35,36.59,3476.09
2024-07-23,Brand - Search Exact,Search,1820,200,174.73,36.15,3434.14
2024-07-24,Brand - Search Exact,Search,2298,253,214.52,32.82,3117.59
2024-07-25,Brand - Search Exact,Search,1880,207,208.87,46.88,4453.53
2024-07-26,Brand - Search Exact,Search,2030,223,202.72,20.06,1905.58
2024-07-27,Brand - Search Exact,Search,2126,234,191.55,30.3,2878.46
2024-07-28,Brand - Search Exact,Search,2903,319,263.54,22.39,2127.48
2024-07-29,Brand - Search Exact,Search,2010,221,194.86,21.64,2055.41
2024-07-30,Brand - Search Exact,Search,2993,329,271.21,62.27,5915.65
2024-07-31,Brand - Search Exact,Search,1786,196,168.36,40.25,3823.71
2024-08-01,Brand - Search Exact,Search,2445,269,214.69,29.03,2757.42
2024-08-02,Brand - Search Exact,Search,2442,269,234.91,24.24,2303.01
2024-08-03,Brand - Search Exact,Search,2187,241,224.36,15.21,1444.65
2024-08-04,Brand - Search Exact,Search,2398,264,229.57,31.88,3028.58
2024-08-05,Brand - Search Exact,Search,1985,218,263.49,84.11,7990.11
2024-08-06,Brand - Search Exact,Search,2253,248,214.62,41.03,3897.82
2024-08-07,Brand - Search Exact,Search,1475,162,210.37,30.07,2856.58
2024-08-08,Brand - Search Exact,Search,2269,250,266.92,47.13,4477.07
2024-08-09,Brand - Search Exact,Search,2336,257,221.08,22.96,2181.33
2024-08-10,Brand - Search Exact,Search,1705,188,160.96,27.3,2593.24
2024-08-11,Brand - Search Exact,Search,1486,163,165.21,31.3,2973.47
2024-08-12,Brand - Search Exact,Search,1827,201,194.18,32.94,3129.56
2024-08-13,Brand - Search Exact,Search,2904,319,250.69,50.12,4761.65
2024-08-14,Brand - Search Exact,Search,2264,249,235.28,42.23,4012.07
2024-08-15,Brand - Search Exact,Search,3284,361,259.79,49.32,4685.53
2024-08-16,Brand - Search Exact,Search,2146,236,212.54,29.11,2765.91
2024-08-17,Brand - Search Exact,Search,2199,242,209.01,46.37,4405.21
2024-08-18,Brand - Search Exact,Search,2701,297,227.44,60.83,5778.77
2024-08-19,Brand - Search Exact,Search,2225,245,217.38,27.13,2577.43
2024-08-20,Brand - Search Exact,Search,2281,251,249.63,30.22,2870.77
2024-08-21,Brand - Search Exact,Search,2040,224,204.19,52.11,4950.55
2024-08-22,Brand - Search Exact,Search,2170,239,215.57,34.09,3239.01
2024-08-23,Brand - Search Exact,Search,1894,208,214.94,54.92,5217.42
2024-08-24,Brand - Search Exact,Search,1618,178,164.29,26.5,2517.62
2024-08-25,Brand - Search Exact,Search,2087,230,222.51,56.97,5412.35
2024-08-26,Brand - Search Exact,Search,2347,258,211.85,37.16,3530.03
2024-08-27,Brand - Search Exact,Search,2343,258,231.14,40.72,3867.99
2024-08-28,Brand - Search Exact,Search,2470,272,251.58,63.35,6018.52
2024-08-29,Brand - Search Exact,Search,2500,275,250.14,35.43,3365.44
2024-08-30,Brand - Search Exact,Search,2689,296,260.31,30.47,2894.42
2024-08-31,Brand - Search Exact,Search,2157,237,200.78,30.19,2867.73
2024-09-01,Brand - Search Exact,Search,1785,196,195.32,38.86,3692.03
2024-09-02,Brand - Search Exact,Search,2139,235,234.98,23.79,2260.12
2024-09-03,Brand - Search Exact,Search,1986,218,176.01,38.38,3646.24
2024-09-04,Brand - Search Exact,Search,1782,196,183.87,27.76,2637.07
2024-09-05,Brand - Search Exact,Search,1649,181,188.12,46.73,4439.54
2024-09-06,Brand - Search Exact,Search,2107,232,199.55,16.77,1593.47
2024-09-07,Brand - Search Exact,Search,2403,264,227.09,29.44,2797.18
2024-09-08,Brand - Search Exact,Search,1557,171,179.62,19.37,1840.38
2024-09-09,Brand - Search Exact,Search,2309,254,223.36,28.8,2736.37
2024-09-10,Brand - Search Exact,Search,3286,361,302.22,47.28,4492.0
2024-09-11,Brand - Search Exact,Search,2354,259,224.44,35.08,3332.3
2024-09-12,Brand - Search Exact,Search,2942,324,273.39,38.51,3658.1
2024-09-13,Brand - Search Exact,Search,1777,195,202.46,33.1,3144.41
2024-09-14,Brand - Search Exact,Search,2133,235,204.27,37.11,3525.52
2024-09-15,Brand - Search Exact,Search,1751,193,178.72,23.66,2247.99
2024-09-16,Brand - Search Exact,Search,2172,239,225.62,45.9,4360.92
2024-09-17,Brand - Search Exact,Search,3076,338,279.1,51.27,4871.0
2024-09-18,Brand - Search Exact,Search,2060,227,175.88,35.56,3378.64
2024-09-19,Brand - Search Exact,Search,3138,345,259.66,47.68,4529.66
2024-09-20,Brand - Search Exact,Search,2889,318,250.73,43.22,4105.74
2024-09-21,Brand - Search Exact,Search,1909,210,191.04,61.6,5851.67
2024-09-22,Brand - Search Exact,Search,1716,189,163.95,29.44,2796.94
2024-09-23,Brand - Search Exact,Search,2658,292,243.68,35.46,3369.0
2024-09-24,Brand - Search Exact,Search,2237,246,218.76,29.07,2761.28
2024-09-25,Brand - Search Exact,Search,2569,283,251.04,29.03,2757.98
2024-09-26,Brand - Search Exact,Search,2652,292,241.8,26.65,2531.51
2024-09-27,Brand - Search Exact,Search,3228,355,321.47,34.74,3300.33
2024-09-28,Brand - Search Exact,Search,1918,211,204.25,34.18,3247.02
2024-09-29,Brand - Search Exact,Search,1720,189,177.44,35.23,3347.1
2024-09-30,Brand - Search Exact,Search,2682,295,249.17,40.01,3800.6
2024-10-01,Brand - Search Exact,Search,2537,279,251.11,31.45,2988.22
2024-10-02,Brand - Search Exact,Search,3223,355,308.39,58.13,5522.62
2024-10-03,Brand - Search Exact,Search,3032,334,280.75,52.64,5000.83
2024-10-04,Brand - Search Exact,Search,2507,276,257.7,38.3,3638.07
2024-10-05,Brand - Search Exact,Search,3032,334,278.33,34.5,3277.51
2024-10-06,Brand - Search Exact,Search,1812,199,172.75,36.91,3506.07
2024-10-07,Brand - Search Exact,Search,1925,212,215.66,38.21,3630.32
2024-10-08,Brand - Search Exact,Search,2391,263,204.89,22.65,2152.22
2024-10-09,Brand - Search Exact,Search,2169,239,225.77,36.4,3457.86
2024-10-10,Brand - Search Exact,Search,1619,178,189.11,35.95,3415.22
2024-10-11,Brand - Search Exact,Search,2473,272,271.75,31.61,3003.14
2024-10-12,Brand - Search Exact,Search,1880,207,206.1,37.17,3531.06
2024-10-13,Brand - Search Exact,Search,1672,184,164.69,19.59,1861.29
2024-10-14,Brand - Search Exact,Search,1987,219,202.15,51.79,4919.85
2024-10-15,Brand - Search Exact,Search,2509,276,256.9,58.31,5539.64
2024-10-16,Brand - Search Exact,Search,3036,334,282.46,39.22,3726.2
2024-10-17,Brand - Search Exact,Search,3638,400,348.11,52.68,5004.8
2024-10-18,Brand - Search Exact,Search,4282,471,410.76,24.82,2358.3
2024-10-19,Brand - Search Exact,Search,2440,268,231.81,26.68,2534.77
2024-10-20,Brand - Search Exact,Search,1935,213,180.12,29.47,2800.02
2024-10-21,Brand - Search Exact,Search,1357,149,165.84,22.08,2097.63
2024-10-22,Brand - Search Exact,Search,2489,274,255.55,49.54,4705.89
2024-10-23,Brand - Search Exact,Search,1709,188,210.46,64.77,6153.11
2024-10-24,Brand - Search Exact,Search,2293,252,226.17,26.13,2482.16
2024-10-25,Brand - Search Exact,Search,2205,243,218.39,28.31,2689.82
2024-10-26,Brand - Search Exact,Search,2359,260,210.39,38.17,3626.2
2024-10-27,Brand - Search Exact,Search,2975,327,261.54,65.7,6241.2
2024-10-28,Brand - Search Exact,Search,2589,285,251.14,27.43,2605.69
2024-10-29,Brand - Search Exact,Search,2281,251,237.37,41.26,3919.24
2024-10-30,Brand - Search Exact,Search,2150,237,202.79,60.02,5701.95
2024-10-31,Brand - Search Exact,Search,1733,191,180.83,19.66,1867.91
2024-11-01,Brand - Search Exact,Search,2263,249,224.06,25.18,2391.86
2024-11-02,Brand - Search Exact,Search,2389,263,214.34,31.69,3010.34
2024-11-03,Brand - Search Exact,Search,2843,313,297.64,37.24,3538.15
2024-11-04,Brand - Search Exact,Search,2744,302,250.67,50.45,4792.73
2024-11-05,Brand - Search Exact,Search,3160,348,292.37,46.36,4404.26
2024-11-06,Brand - Search Exact,Search,2057,226,224.0,21.71,2062.18
2024-11-07,Brand - Search Exact,Search,2205,243,198.08,39.96,3796.55
2024-11-08,Brand - Search Exact,Search,2233,246,206.16,29.53,2805.44
2024-11-09,Brand - Search Exact,Search,1944,214,190.5,48.94,4649.29
2024-11-10,Brand - Search Exact,Search,2981,328,318.54,37.39,3552.29
2024-11-11,Brand - Search Exact,Search,1964,216,211.83,29.51,2803.38
2024-11-12,Brand - Search Exact,Search,2735,301,285.71,50.08,4757.87
2024-11-13,Brand - Search Exact,Search,2228,245,208.92,44.52,4229.33
2024-11-14,Brand - Search Exact,Search,2669,294,290.78,49.18,4671.77
2024-11-15,Brand - Search Exact,Search,4173,459,395.47,52.01,4941.14
2024-11-16,Brand - Search Exact,Search,2832,312,317.47,80.38,7636.38
2024-11-17,Brand - Search Exact,Search,3210,353,324.3,50.71,4817.82
2024-11-18,Brand - Search Exact,Search,3354,369,328.38,84.45,8022.62
2024-11-19,Brand - Search Exact,Search,5166,568,400.51,56.6,5376.76
2024-11-20,Brand - Search Exact,Search,2999,330,340.69,91.68,8709.34
2024-11-21,Brand - Search Exact,Search,3472,382,296.69,58.55,5562.53
2024-11-22,Brand - Search Exact,Search,3015,332,294.03,50.51,4798.77
2024-11-23,Brand - Search Exact,Search,3556,391,337.84,87.5,8312.7
2024-11-24,Brand - Search Exact,Search,4450,489,435.36,85.71,8142.85
2024-11-25,Brand - Search Exact,Search,4027,443,381.36,70.51,6698.39
2024-11-26,Brand - Search Exact,Search,3609,397,362.86,127.89,12149.69
2024-11-27,Brand - Search Exact,Search,4561,502,390.42,75.11,7135.16
2024-11-28,Brand - Search Exact,Search,4529,498,469.32,94.02,8932.18
2024-11-29,Brand - Search Exact,Search,5532,609,489.06,130.11,12360.3
2024-11-30,Brand - Search Exact,Search,2889,318,305.05,55.61,5282.9
2024-12-01,Brand - Search Exact,Search,4026,443,401.01,88.45,8402.44
2024-12-02,Brand - Search Exact,Search,4371,481,481.72,96.28,9146.51
2024-12-03,Brand - Search Exact,Search,5182,570,490.15,83.83,7963.44
2024-12-04,Brand - Search Exact,Search,4486,494,384.4,128.06,12165.94
2024-12-05,Brand - Search Exact,Search,2992,329,298.48,54.76,5202.39
2024-12-06,Brand - Search Exact,Search,2882,317,290.98,35.78,3399.55
2024-12-07,Brand - Search Exact,Search,4007,441,443.41,130.31,12379.7
2024-12-08,Brand - Search Exact,Search,4437,488,449.44,173.71,16502.49
2024-12-09,Brand - Search Exact,Search,3108,342,360.85,73.08,6942.33
2024-12-10,Brand - Search Exact,Search,3208,353,348.0,45.33,4306.63
2024-12-11,Brand - Search Exact,Search,5014,552,485.25,86.05,8174.38
2024-12-12,Brand - Search Exact,Search,3524,388,305.74,69.56,6608.31
2024-12-13,Brand - Search Exact,Search,4251,468,317.78,73.08,6942.43
2024-12-14,Brand - Search Exact,Search,3533,389,370.94,52.98,5033.34
2024-12-15,Brand - Search Exact,Search,3590,395,307.85,80.08,7607.44
2024-12-16,Brand - Search Exact,Search,3865,425,373.43,98.22,9330.66
2024-12-17,Brand - Search Exact,Search,3613,397,363.09,52.87,5022.59
2024-12-18,Brand - Search Exact,Search,4193,461,397.52,106.63,10129.66
2024-12-19,Brand - Search Exact,Search,4900,539,482.15,174.36,16564.58
2024-12-20,Brand - Search Exact,Search,3887,428,380.55,89.17,8470.85
2024-12-21,Brand - Search Exact,Search,3608,397,372.05,66.97,6362.1
2024-12-22,Brand - Search Exact,Search,2013,221,229.18,54.53,5180.55
2024-12-23,Brand - Search Exact,Search,3217,354,371.59,100.69,9565.17
2024-12-24,Brand - Search Exact,Search,3474,382,322.2,46.36,4404.56
2024-12-25,Brand - Search Exact,Search,2960,326,301.27,79.0,7505.32
2024-12-26,Brand - Search Exact,Search,3050,335,320.45,69.11,6565.68
2024-12-27,Brand - Search Exact,Search,3574,393,353.56,142.22,13510.54
2024-12-28,Brand - Search Exact,Search,4286,471,391.85,72.09,6848.95
2024-12-29,Brand - Search Exact,Search,2693,296,261.82,101.5,9642.79
2024-12-30,Brand - Search Exact,Search,3576,393,378.02,60.62,5758.73
2024-12-31,Brand - Search Exact,Search,3936,433,344.71,96.2,9139.47
2025-01-01,Brand - Search Exact,Search,2517,277,212.82,39.43,3745.41
2025-01-02,Brand - Search Exact,Search,2871,316,270.52,31.82,3023.13
2025-01-03,Brand - Search Exact,Search,2771,305,248.91,41.53,3944.94
2025-01-04,Brand - Search Exact,Search,2909,320,254.37,57.37,5449.82
2025-01-05,Brand - Search Exact,Search,2200,242,194.54,30.71,2917.7
2025-01-06,Brand - Search Exact,Search,2144,236,199.58,20.71,1967.36
2025-01-07,Brand - Search Exact,Search,2331,256,217.37,36.1,3429.93
2025-01-08,Brand - Search Exact,Search,2516,277,236.5,29.14,2768.41
2025-01-09,Brand - Search Exact,Search,2116,233,233.81,34.24,3252.57
2025-01-10,Brand - Search Exact,Search,2020,222,186.41,32.13,3051.96
2025-01-11,Brand - Search Exact,Search,1798,198,203.81,20.9,1985.58
2025-01-12,Brand - Search Exact,Search,1950,215,209.02,21.82,2072.51
2025-01-13,Brand - Search Exact,Search,4107,452,356.91,55.27,5251.04
2025-01-14,Brand - Search Exact,Search,3496,385,318.17,38.56,3663.62
2025-01-15,Brand - Search Exact,Search,2282,251,194.72,15.69,1490.48
2025-01-16,Brand - Search Exact,Search,2120,233,215.69,45.71,4342.59
2025-01-17,Brand - Search Exact,Search,1572,173,174.61,34.22,3250.59
2025-01-18,Brand - Search Exact,Search,1783,196,180.81,26.05,2474.67
2025-01-19,Brand - Search Exact,Search,2173,239,212.94,24.14,2293.33
2025-01-20,Brand - Search Exact,Search,2878,317,282.66,54.39,5166.95
2025-01-21,Brand - Search Exact,Search,2258,248,199.61,38.21,3629.84
2025-01-22,Brand - Search Exact,Search,1972,217,202.4,70.94,6739.54
2025-01-23,Brand - Search Exact,Search,1619,178,154.76,32.95,3130.19
2025-01-24,Brand - Search Exact,Search,2025,223,221.31,41.22,3916.34
2025-01-25,Brand - Search Exact,Search,1760,194,166.57,29.06,2760.29
2025-01-26,Brand - Search Exact,Search,1853,204,183.41,41.62,3953.89
2025-01-27,Brand - Search Exact,Search,1826,201,194.85,40.87,3882.41
2025-01-28,Brand - Search Exact,Search,2214,244,224.41,53.88,5118.59
2025-01-29,Brand - Search Exact,Search,1650,182,166.41,26.11,2480.32
2025-01-30,Brand - Search Exact,Search,1725,190,175.42,27.76,2636.88
2025-01-31,Brand - Search Exact,Search,4043,445,335.27,40.14,3813.76
2025-02-01,Brand - Search Exact,Search,1783,196,178.23,40.52,3849.8
2025-02-02,Brand - Search Exact,Search,1819,200,184.53,51.27,4870.34
2025-02-03,Brand - Search Exact,Search,2898,319,353.86,41.5,3942.79
2025-02-04,Brand - Search Exact,Search,3963,436,429.04,45.93,4363.55
2025-02-05,Brand - Search Exact,Search,2027,223,206.06,38.58,3664.68
2025-02-06,Brand - Search Exact,Search,2247,247,238.21,35.64,3385.76
2025-02-07,Brand - Search Exact,Search,3141,345,270.79,54.99,5223.62
2025-02-08,Brand - Search Exact,Search,3056,336,307.61,22.55,2142.37
2025-02-09,Brand - Search Exact,Search,2169,239,188.75,25.9,2460.57
2025-02-10,Brand - Search Exact,Search,2479,273,243.94,30.77,2923.1
2025-02-11,Brand - Search Exact,Search,2974,327,293.36,21.54,2045.85
2025-02-12,Brand - Search Exact,Search,2763,304,275.93,31.28,2971.41
2025-02-13,Brand - Search Exact,Search,2411,265,238.55,29.18,2772.07
2025-02-14,Brand - Search Exact,Search,2990,329,249.29,37.1,3524.56
2025-02-15,Brand - Search Exact,Search,1413,155,176.44,44.34,4212.16
2025-02-16,Brand - Search Exact,Search,1791,197,216.59,33.65,3196.59
2025-02-17,Brand - Search Exact,Search,2331,256,243.7,28.54,2711.63
2025-02-18,Brand - Search Exact,Search,2698,297,266.69,40.28,3826.16
2025-02-19,Brand - Search Exact,Search,2506,276,231.54,51.67,4908.87
2025-02-20,Brand - Search Exact,Search,2951,325,278.66,31.33,2976.75
2025-02-21,Brand - Search Exact,Search,2987,329,307.29,33.7,3201.82
2025-02-22,Brand - Search Exact,Search,2607,287,233.06,44.78,4253.69
2025-02-23,Brand - Search Exact,Search,2705,297,241.54,36.2,3438.6
2025-02-24,Brand - Search Exact,Search,2663,293,258.86,48.91,4646.74
2025-02-25,Brand - Search Exact,Search,2853,314,256.5,39.9,3790.72
2025-02-26,Brand - Search Exact,Search,2339,257,225.35,45.8,4350.92
2025-02-27,Brand - Search Exact,Search,2595,285,271.75,30.35,2883.62
2025-02-28,Brand - Search Exact,Search,2733,301,252.35,39.55,3756.81
2025-03-01,Brand - Search Exact,Search,3383,372,331.25,43.24,4108.13
2025-03-02,Brand - Search Exact,Search,3049,335,301.79,30.46,2893.48
2025-03-03,Brand - Search Exact,Search,3226,355,275.61,26.11,2480.43
2025-03-04,Brand - Search Exact,Search,1772,195,224.21,45.44,4316.86
2025-03-05,Brand - Search Exact,Search,1846,203,210.63,32.04,3043.38
2025-03-06,Brand - Search Exact,Search,2861,315,318.98,33.24,3157.92
2025-03-07,Brand - Search Exact,Search,2630,289,270.0,40.08,3807.87
2025-03-08,Brand - Search Exact,Search,2447,269,248.48,55.17,5241.4
2025-03-09,Brand - Search Exact,Search,1447,159,166.55,15.41,1463.93
2025-03-10,Brand - Search Exact,Search,2789,307,304.68,28.14,2673.39
2025-03-11,Brand - Search Exact,Search,2594,285,279.92,31.92,3032.16
2025-03-12,Brand - Search Exact,Search,2729,300,211.29,55.28,5251.83
2025-03-13,Brand - Search Exact,Search,2868,316,237.14,41.65,3956.59
2025-03-14,Brand - Search Exact,Search,2625,289,270.8,52.02,4942.11
2025-03-15,Brand - Search Exact,Search,2247,247,230.71,26.73,2539.79
2025-03-16,Brand - Search Exact,Search,1953,215,216.92,25.91,2461.25
2025-03-17,Brand - Search Exact,Search,2118,233,253.78,45.55,4326.83
2025-03-18,Brand - Search Exact,Search,2468,271,247.19,39.91,3790.99
2025-03-19,Brand - Search Exact,Search,2431,267,265.97,48.23,4581.48
2025-03-20,Brand - Search Exact,Search,3379,372,337.37,43.95,4175.47
2025-03-21,Brand - Search Exact,Search,1404,154,163.16,32.74,3110.53
2025-03-22,Brand - Search Exact,Search,2056,226,219.61,38.3,3638.49
2025-03-23,Brand - Search Exact,Search,2426,267,236.67,48.26,4584.86
2025-03-24,Brand - Search Exact,Search,2865,315,273.46,52.94,5028.93
2025-03-25,Brand - Search Exact,Search,2555,281,242.58,23.86,2266.23
2025-03-26,Brand - Search Exact,Search,1674,184,189.14,16.94,1608.9
2025-03-27,Brand - Search Exact,Search,3030,333,275.37,56.34,5352.29
2025-03-28,Brand - Search Exact,Search,3304,363,354.39,68.07,6466.34
2025-03-29,Brand - Search Exact,Search,1876,206,174.37,23.19,2203.44
2025-03-30,Brand - Search Exact,Search,2710,298,268.58,23.54,2236.7
2025-03-31,Brand - Search Exact,Search,2157,237,245.07,40.19,3818.26
2025-04-01,Brand - Search Exact,Search,2518,277,257.24,53.06,5040.83
2025-04-02,Brand - Search Exact,Search,2255,248,215.28,61.87,5877.44
2025-04-03,Brand - Search Exact,Search,2632,290,245.1,45.56,4327.73
2025-04-04,Brand - Search Exact,Search,3277,361,329.07,41.06,3901.07
2025-04-05,Brand - Search Exact,Search,3013,331,255.93,30.61,2907.91
2025-04-06,Brand - Search Exact,Search,3518,387,314.9,45.02,4277.12
2025-04-07,Brand - Search Exact,Search,3173,349,322.26,41.51,3943.88
2025-04-08,Brand - Search Exact,Search,3073,338,282.27,31.19,2963.15
2025-04-09,Brand - Search Exact,Search,4377,481,357.14,88.47,8404.39
2025-04-10,Brand - Search Exact,Search,3471,382,282.49,72.29,6867.17
2025-04-11,Brand - Search Exact,Search,2708,298,303.1,61.82,5873.01
2025-04-12,Brand - Search Exact,Search,2017,222,219.08,27.67,2628.41
2025-04-13,Brand - Search Exact,Search,2742,302,233.97,49.06,4660.24
2025-04-14,Brand - Search Exact,Search,2095,230,230.59,45.59,4330.67
2025-04-15,Brand - Search Exact,Search,2766,304,312.54,51.03,4848.32
2025-04-16,Brand - Search Exact,Search,2036,224,211.64,51.94,4934.01
2025-04-17,Brand - Search Exact,Search,3174,349,301.33,53.03,5038.07
2025-04-18,Brand - Search Exact,Search,2530,278,253.02,49.63,4714.95
2025-04-19,Brand - Search Exact,Search,2708,298,286.11,51.58,4900.35
2025-04-20,Brand - Search Exact,Search,2506,276,265.37,45.25,4298.89
2025-04-21,Brand - Search Exact,Search,3422,376,363.82,28.28,2686.32
2025-04-22,Brand - Search Exact,Search,2767,304,299.13,44.77,4252.72
2025-04-23,Brand - Search Exact,Search,2509,276,197.7,28.94,2749.45
2025-04-24,Brand - Search Exact,Search,2699,297,259.32,27.46,2609.09
2025-04-25,Brand - Search Exact,Search,2347,258,212.63,59.3,5633.35
2025-04-26,Brand - Search Exact,Search,2036,224,211.67,59.97,5697.53
2025-04-27,Brand - Search Exact,Search,3025,333,305.13,66.34,6302.13
2025-04-28,Brand - Search Exact,Search,2773,305,294.85,46.76,4442.56
2025-04-29,Brand - Search Exact,Search,1797,198,231.89,56.62,5378.47
2025-04-30,Brand - Search Exact,Search,1929,212,219.21,36.62,3478.53
2025-05-01,Brand - Search Exact,Search,2231,245,264.75,43.36,4119.06
2025-05-02,Brand - Search Exact,Search,1706,188,211.51,25.71,2442.03
2025-05-03,Brand - Search Exact,Search,1851,204,206.49,39.6,3761.89
2025-05-04,Brand - Search Exact,Search,2843,313,246.56,39.87,3787.72
2025-05-05,Brand - Search Exact,Search,3264,359,324.53,30.84,2929.4
2025-05-06,Brand - Search Exact,Search,3382,372,294.24,42.61,4047.88
2025-05-07,Brand - Search Exact,Search,1838,202,174.65,30.79,2925.19
2025-05-08,Brand - Search Exact,Search,3045,335,278.77,72.02,6842.25
2025-05-09,Brand - Search Exact,Search,2469,272,267.46,53.66,5097.96
2025-05-10,Brand - Search Exact,Search,2679,295,251.71,39.77,3777.88
2025-05-11,Brand - Search Exact,Search,3397,374,312.65,48.16,4575.43
2025-05-12,Brand - Search Exact,Search,1738,191,182.32,32.88,3123.7
2025-05-13,Brand - Search Exact,Search,2540,279,237.73,36.06,3425.44
2025-05-14,Brand - Search Exact,Search,3145,346,294.21,31.27,2970.63
2025-05-15,Brand - Search Exact,Search,1903,209,199.07,32.83,3118.44
2025-05-16,Brand - Search Exact,Search,3117,343,345.29,37.61,3573.18
2025-05-17,Brand - Search Exact,Search,2246,247,250.34,27.15,2579.12
2025-05-18,Brand - Search Exact,Search,2781,306,272.95,48.39,4597.03
2025-05-19,Brand - Search Exact,Search,2496,275,239.16,43.25,4108.39
2025-05-20,Brand - Search Exact,Search,2864,315,306.97,25.9,2460.41
2025-05-21,Brand - Search Exact,Search,3256,358,321.5,43.72,4153.28
2025-05-22,Brand - Search Exact,Search,2959,326,276.71,56.39,5357.09
2025-05-23,Brand - Search Exact,Search,2975,327,276.89,57.5,5462.18
2025-05-24,Brand - Search Exact,Search,2909,320,246.63,53.27,5061.01
2025-05-25,Brand - Search Exact,Search,2309,254,201.18,34.99,3323.59
2025-05-26,Brand - Search Exact,Search,2365,260,258.8,31.25,2969.14
2025-05-27,Brand - Search Exact,Search,3092,340,258.67,29.09,2763.18
2025-05-28,Brand - Search Exact,Search,2730,300,284.97,47.15,4479.07
2025-05-29,Brand - Search Exact,Search,3572,393,318.54,50.58,4804.98
2025-05-30,Brand - Search Exact,Search,2237,246,220.0,53.8,5111.06
2025-05-31,Brand - Search Exact,Search,2232,246,230.31,52.3,4968.35
2025-06-01,Brand - Search Exact,Search,2594,285,307.66,42.59,4046.52
